State,Rate,Delete,Bracket,Delete
,10.750%,>,"$5,000,000 ",
N.M.,1.7%,>,$0 ,
,3.2%,>,"$5,500 ",
,4.7%,>,"$11,000 ",
,4.9%,>,"$16,000 ",
"N.Y. (b, f)",4.00%,>,$0 ,
,4.50%,>,"$8,500 ",
,5.25%,>,"$11,700 ",
,5.90%,>,"$13,900 ",
,6.21%,>,"$21,400 ",
,6.49%,>,"$80,650 ",
,6.85%,>,"$215,400 ",
,8.82%,>,"$1,077,550 ",
N.C.,5.25%,>,$0 ,
"N.D. (c, d)",1.10%,>,$0 ,
,2.04%,>,"$39,450 ",
,2.27%,>,"$95,500 ",
,2.64%,>,"$199,250 ",
,2.90%,>,"$433,200 ",
"Ohio (b, d)",2.850%,>,"$21,750 ",
,3.326%,>,"$43,450 ",
,3.802%,>,"$86,900 ",
,4.413%,>,"$108,700 ",
,4.797%,>,"$217,400 ",
Okla.,0.5%,>,$0 ,
,1.0%,>,"$1,000 ",
,2.0%,>,"$2,500 ",
,3.0%,>,"$3,750 ",
,4.0%,>,"$4,900 ",
,5.0%,>,"$7,200 ",
"Ore. (a, b, c, d)",5.0%,>,$0 ,
,7.0%,>,"$3,550 ",
,9.0%,>,"$8,900 ",
,9.9%,>,"$125,000 ",
Pa. (b),3.07%,>,$0 ,
R.I. (c),3.75%,>,$0 ,
,4.75%,>,"$65,250 ",
,5.99%,>,"$148,350 ",
S.C. (c),0%,>,$0 ,
,3%,>,"$3,070 ",
,4%,>,"$6,150 ",
,5%,>,"$9,230 ",
,6%,>,"$12,310 ",
,7%,>,"$15,400 ",
S.D.,,None,,
Tenn. (g),1%,>,$0 ,
Tex.,,None,,
Utah,4.95% of federal AGI,,,
"Vt. (c, d)",3.35%,>,$0 ,
,6.60%,>,"$39,600",
,7.60%,>,"$96,000",
,8.75%,>,"$200,200",
Va.,2.00%,>,$0 ,
,3.00%,>,"$3,000 ",
,5.00%,>,"$5,000 ",
,5.75%,>,"$17,000 ",
Wash.,,None,,
W.Va. (b),3.0%,>,$0 ,
,4.0%,>,"$10,000 ",
,4.5%,>,"$25,000 ",
,6.0%,>,"$40,000 ",
,6.5%,>,"$60,000 ",
Wis. (c),4.00%,>,$0 ,
,5.21%,>,"$11,970 ",
,6.27%,>,"$23,930 ",
,7.65%,>,"$263,480 ",
Wyo.,,None,,
D.C.,4.00%,>,$0 ,
,6.00%,>,"$10,000 ",
,6.50%,>,"$40,000 ",
,8.50%,>,"$60,000 ",
,8.75%,>,"$350,000 ",
,8.95%,>,"$1,000,000 ",
,,,,
